domain,company,vertical,industry_raw,region,source,list_year,stratum
teaminside.fr,TEAMINSIDE GROUP,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
phinc-group.com,PhinC Development,health,Pharmaceuticals,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
1800gotjunk.com,Freedom Capital,services_other,Consumer Products,us,inc.com_api_i5list,2019,inc.com_api_i5list
bopen.eu,B-Open Solutions,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
acanthe-conseil.com,ACANTHE CONSEIL,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
180engineering.com,180 Engineering,services_other,Human Resources,us,inc.com_api_i5list,2019,inc.com_api_i5list
stradeeambiente.it,Consorzio Italiano Strade E Ambiente,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
redshift.global,Redshift Consulting,services_other,Cyber Security,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
groupesgp.fr,GROUPE SGP,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
123homecares.com,123 Home Care,health,Health Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
1linktechnology.com,1Link Technology,services_other,IT Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
2020teknology.com,2020 Teknology,services_other,IT Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
1stclassrealestate.com,1st Class Real Estate,services_other,Real Estate,us,inc.com_api_i5list,2019,inc.com_api_i5list
1stchoiceroofing.com,1st Choice Roofing Company,services_other,Construction,us,inc.com_api_i5list,2019,inc.com_api_i5list
strategicmp.it,Strategic Management Partners,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
360riskpartners.com,360 Risk Partners Insurance Solutions,fintech_insurance,Insurance,us,inc.com_api_i5list,2019,inc.com_api_i5list
10llc.com,Group 10 Capital,services_other,Real Estate,us,inc.com_api_i5list,2019,inc.com_api_i5list
1choiceconstruction.com,1st Choice Construction Management,services_other,Construction,us,inc.com_api_i5list,2019,inc.com_api_i5list
3blindmiceusa.com,3 Blind Mice Window Coverings,ecommerce_retail,Business Products & Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
360blue.com,360 Blue,services_other,Travel & Hospitality,us,inc.com_api_i5list,2019,inc.com_api_i5list
360energysolutions.net,360 Energy Solutions,services_other,Energy,us,inc.com_api_i5list,2019,inc.com_api_i5list
adarma.com,Adarma,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
2ndfamily.com,2nd Family,health,Health Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
10thmagnitude.com,10th Magnitude,services_other,IT Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
24hrcares.com,24 Hour Home Care,health,Health Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
3-gis.com,3-GIS,software_saas,Telecommunications,us,inc.com_api_i5list,2019,inc.com_api_i5list
495movers.com,495 Movers,services_other,Travel & Hospitality,us,inc.com_api_i5list,2019,inc.com_api_i5list
potec.biz,PoTec Vertriebs,services_other,Ecommerce,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
5starroofer.com,5 Star Roofing and Restoration,services_other,Construction,us,inc.com_api_i5list,2019,inc.com_api_i5list
4-app.com,Advanced Powder Products,services_other,Manufacturing,us,inc.com_api_i5list,2019,inc.com_api_i5list
3nom.com,3nom,services_other,IT Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
49ercommunications.com,49er Communications,services_other,Telecommunications,us,inc.com_api_i5list,2019,inc.com_api_i5list
866411zapp.com,Mainstream Electric Heating Cooling & Plumbing,services_other,Construction,us,inc.com_api_i5list,2019,inc.com_api_i5list
5qcloud.com,5Q,services_other,IT Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
