domain,company,vertical,industry_raw,region,source,list_year
blueskyrs.com,BlueSky Resource Solutions,services_other,Human Resources,us,inc.com_api_i5list,2019
bluestonestaffing.com,blueStone Staffing,services_other,IT Services,us,inc.com_api_i5list,2019
bluetreenetwork.com,Bluetree Network,services_other,IT Services,us,inc.com_api_i5list,2019
bluewater.tv,Bluewater Media,services_other,"Advertising, Marketing & PR",us,inc.com_api_i5list,2019
bluewave.energy,BlueWave Solar,services_other,Energy,us,inc.com_api_i5list,2019
bluewheelmedia.com,Blue Wheel Media,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
bm2freight.com,BM2 Freight Services,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
bmechanicalinc.com,Brother's Mechanical,services_other,Construction,us,inc.com_api_i5list,2019
bmnt.com,BMNT Partners,services_other,Business Products & Services,us,inc.com_api_i5list,2019
bmr-inc.com,Broadreach Medical Resources,health,Health Services,us,inc.com_api_i5list,2019
bngteam.com,BNG Team,services_other,Business Products & Services,us,inc.com_api_i5list,2019
boalogistics.com,BOA Logistics,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
boardpaq.com,BoardPaq,software_saas,Software,us,inc.com_api_i5list,2019
boarudroomsalon.com,The Boardroom Salon Company,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
bobateadirect.com,Centralized Service,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
bocabeautyacademy.edu,Boca Beauty Academy,edtech,Education,us,inc.com_api_i5list,2019
bodycentralpt.net,Bodycentral Physical Therapy,health,Health Services,us,inc.com_api_i5list,2019
bodydelsol.com,Body del Sol Medical Spa,ecommerce_retail,Retail,us,inc.com_api_i5list,2019
bodydetails.com,BODY DETAILS,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
bodyhealth.com,BodyHealth,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
boldnc.com,Bold Construction,services_other,Construction,us,inc.com_api_i5list,2019
bollandbranch.com,Boll & Branch,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
boltonremote.com,Bolton Remote,services_other,Business Products & Services,us,inc.com_api_i5list,2019
boltontechnology.com,Bolt On Technology,software_saas,Software,us,inc.com_api_i5list,2019
bombas.com,Bombas,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
bombora.com,Bombora,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
bondcollective.com,Bond Collective,services_other,Real Estate,us,inc.com_api_i5list,2019
bongolearn.com,eduPresent,software_saas,Software,us,inc.com_api_i5list,2019
bonusly.com,Bonusly,software_saas,Software,us,inc.com_api_i5list,2019
book4time.com,Book4Time,software_saas,Software,us,inc.com_api_i5list,2019
bookkeeper360.com,Bookkeeper360,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
bookyourcargo.com,JSK Transportation,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
boom.ai,Boomsourcing,services_other,Business Products & Services,us,inc.com_api_i5list,2019
boomerangdm.com,Boomerang DM,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
boomset.com,Boomset,software_saas,Software,us,inc.com_api_i5list,2019
boomtrans.com,Boomerang Transportation,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
boostb2b.com,Boost Payment Solutions,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
bore-tech.net,Bore Tech Utilities,services_other,Construction,us,inc.com_api_i5list,2019
bosmedicalstaffing.com,BOS Staffing,services_other,Human Resources,us,inc.com_api_i5list,2019
bossecurity.com,BOS Security,services_other,Security,us,inc.com_api_i5list,2019
bosslgx.com,Boss Logistics,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
bossretirement.com,B.O.S.S. Retirement Solutions,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
bostoncar.com,Above All Transportation/ Boston Car Service,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
bottlekeeper.com,BottleKeeper,ecommerce_retail,Retail,us,inc.com_api_i5list,2019
bottlerocketmedia.net,Bottle Rocket Media,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
bounteous.com,Bounteous,services_other,Business Products & Services,us,inc.com_api_i5list,2019
boutiquerecruiting.com,Boutique Recruiting,services_other,Human Resources,us,inc.com_api_i5list,2019
bowstring.tv,Aurora Imaging Company,services_other,Media,us,inc.com_api_i5list,2019
boxwellhomes.com,Boxwell Southwest,services_other,Construction,us,inc.com_api_i5list,2019
boxycharm.com,BoxyCharm,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
bpdadvertising.com,Brown Parker & DeMarinis Advertising,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
