domain,company,vertical,industry_raw,region,source,list_year
gismart.com,Gismart,software_saas,Games industry,uk,ft1000_wayback:20230425220624,2020
mammaitaliaus.com,Mamma 2.0,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20230425220624,2020
touchnetworks.co.uk,In Touch Networks,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
futureplaygames.com,Futureplay,software_saas,Games industry,eu,ft1000_wayback:20230425220624,2020
junglecreations.com,Jungle Creations,services_other,Media,uk,ft1000_wayback:20230425220624,2020
sinob.de,#sinob,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
trouva.com,Trouva,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
softwarehut.com,SoftwareHut,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
eskimoz.fr,Eskimoz,services_other,Media,eu,ft1000_wayback:20230425220624,2020
agriconomie.com,Agriconomie,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
bluemotorfinance.co.uk,Blue Motor Finance,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020
vidsy.co,Vidsy Media,services_other,Advertising,uk,ft1000_wayback:20230425220624,2020
darktrace.com,Darktrace,devtools,Cyber Security,uk,ft1000_wayback:20230425220624,2020
fostec.com,FOSTEC & Company,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020
stillfront.com,Stillfront Group,software_saas,Games industry,eu,ft1000_wayback:20230425220624,2020
workcapital.es,Workcapital,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020
missoma.com,Missoma,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20230425220624,2020
theinsidersnet.com,Grapevine (The Insiders),services_other,Advertising,eu,ft1000_wayback:20230425220624,2020
viralize.com,Viralize,services_other,Advertising,eu,ft1000_wayback:20230425220624,2020
ruehehealthcare.com,Ruehe Healthcare,health,Health,eu,ft1000_wayback:20230425220624,2020
mrswordsmith.com,Mrs Wordsmith,edtech,Education,uk,ft1000_wayback:20230425220624,2020
innovi.fr,INNOVI Recherche,health,Pharmaceuticals,eu,ft1000_wayback:20230425220624,2020
complyadvantage.com,ComplyAdvantage,fintech_insurance,Fintech,uk,ft1000_wayback:20230425220624,2020
tylia.fr,Tylia Invest,fintech_insurance,Fintech,eu,ft1000_wayback:20230425220624,2020
conceptif.de,ConceptIF Pro,fintech_insurance,Insurance,eu,ft1000_wayback:20230425220624,2020
tingopol.eu,Tingopol,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
northgatevehiclehire.co.uk,GAP Vehicle Hire,services_other,Support Services,uk,ft1000_wayback:20230425220624,2020
oradian.com,Oradian,fintech_insurance,Fintech,eu,ft1000_wayback:20230425220624,2020
youlovewords.com,YouLoveWords,services_other,Media,eu,ft1000_wayback:20230425220624,2020
voxpopme.com,Voxpopme,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
vadeca.pt,Vadeca Facility Services,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
typeform.com,Typeform,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
prodigi.com,Prodigi Group,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
applifting.io,Applifting,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
rezatec.com,Rezatec,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
accenta.de,ACCENTA Music,services_other,Advertising,eu,ft1000_wayback:20230425220624,2020
facephi.com,Facephi Biometria,fintech_insurance,Fintech,eu,ft1000_wayback:20230425220624,2020
beer52.com,Beer52,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20230425220624,2020
cpgroupcom.de,CP Group,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
weareelements.io,Elements Talent Consultancy,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
miyagieyewear.com,Miyagi,services_other,Advertising,eu,ft1000_wayback:20230425220624,2020
q.agency,Q Agency,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
rojen.com,Rojen Commerce,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
geckoengage.com,Gecko Labs,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
ministryofprogramming.com,Ministry of Programming,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
geniussports.com,Genius Sports Group,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
itp-technologie.com,ITP TECHNOLOGIE,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
