domain,company,vertical,industry_raw,region,source,list_year
nexumstp.it,NexumStp,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
egomnia.com,Egomnia,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
loyaltylion.com,LoyaltyLion,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
remarkable.com,reMarkable,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
kubrickgroup.com,Kubrick,services_other,Management Consulting,uk,ft1000_wayback:20220301043147,2022
contrader.it,Contrader,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
upmt.be,Wielandts UPMT,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
asket.com,ASKET,ecommerce_retail,Fashion,eu,ft1000_wayback:20220301043147,2022
formelab.com,FOR ME LAB,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
wave.studio,Wave Studio,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
bazzar.hr,bazzar,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
cybersprint.io,Cybersprint,devtools,Cyber Security,eu,ft1000_wayback:20220301043147,2022
brandongroup.it,Brandon Group,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
feiniko.de,Feiniko Handelsgesellschaft,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
pharmagrin.com,PharmaGrin,health,Health,eu,ft1000_wayback:20220301043147,2022
lifem.eu,Life M,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
pastbook.com,PastBook,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
bluefinsupboards.com,Bluefin,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
milkandhoneypr.com,Milk & Honey PR,services_other,Sales & Marketing,uk,ft1000_wayback:20220301043147,2022
virta.global,Virta,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
blackbelt.hu,BlackBelt Holding,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
dynveo.fr,DYNVEO,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
