domain,vertical,region,company,batch,stratum,n_article_urls,best_path,qualified,error,crawls
bearaby.com,ecommerce_retail,us,Bearaby,inc.com_api_i5list,inc.com_api_i5list,215,blog/,True,,
rocketrip.com,fintech,us,Rocketrip,Winter 2014,yc,214,blog.,True,,
fearless.tech,services_other,us,Fearless,inc.com_api_i5list,inc.com_api_i5list,213,blog/,True,,
soylent.com,ecommerce,us,Soylent,Summer 2012,yc,213,blog/,True,,
symplr.com,health,us,Vendor Credentialing Service,inc.com_api_i5list,inc.com_api_i5list,213,blog/,True,,
chartio.com,saas,us,Chartio,Summer 2010,yc,213,blog/,True,,
zeusliving.com,other,us,Zeus,Summer 2011,yc,213,blog/,True,,
shopvida.com,ecommerce,us,VIDA & Co.,Summer 2017,yc,212,blog.,True,,
marcumllp.com,services_other,us,Marcum LLP,inc.com_api_i5list,inc.com_api_i5list,211,blog/,True,,
hackerrank.com,devtools,us,HackerRank,Summer 2011,yc,210,blog/,True,,
boardroominsiders.com,services_other,us,Boardroom Insiders,inc.com_api_i5list,inc.com_api_i5list,210,blog/,True,,
phoenix.ca,ecommerce,us,Phoenix,Winter 2021,yc,209,blog/,True,,
ntiva.com,services_other,us,Ntiva,inc.com_api_i5list,inc.com_api_i5list,209,blog/,True,,
manatal.com,software_saas,,Manatal,g2.com_wayback,g2.com_wayback,203,blog/,True,,
assemblyai.com,devtools,us,AssemblyAI,Summer 2017,yc,202,blog/,True,,
armory.io,devtools,us,Armory,Winter 2017,yc,202,blog/,True,,
knowbe4.com,software_saas,us,KnowBe4,inc.com_api_i5list,inc.com_api_i5list,201,blog.,True,,
correctivechiropractic.com,health,us,Corrective Chiropractic,inc.com_api_i5list,inc.com_api_i5list,201,blog/,True,,
prolinkstaffing.com,health,us,ProLink Staffing,inc.com_api_i5list,inc.com_api_i5list,201,blog/,True,,
theforage.com,saas,us,Forage,Winter 2019,yc,201,blog/,True,,
siegfriedgroup.com,services_other,us,The Siegfried Group,inc.com_api_i5list,inc.com_api_i5list,201,blog.,True,,
yougotlistings.com,saas,us,You Got Listings,Winter 2011,yc,201,blog/,True,,
